song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
Hooptie // Drug,43,110654,0.00567,0.619,0.794,0.00244,10,0.483,-8.692,0,0.0703,117.999,4,0.536
Hit or Miss,45,248253,0.497,0.514,0.413,0.899,4,0.0847,-9.042,0,0.0453,179.785,4,0.332
No Going Back,60,208200,0.0114,0.714,0.713,0.0183,2,0.0608,-5.52,0,0.027,93.006,4,0.9
Drown,70,234055,0.455,0.674,0.615,0.00091,0,0.208,-8.188,1,0.147,85.048,4,0.756
Warned You,65,133128,0.662,0.507,0.428,0.149,6,0.101,-4.677,1,0.0263,138.163,4,0.406
Georgie,53,82500,0.227,0.791,0.339,0.0212,2,0.176,-14.807,1,0.0331,100.02,4,0.657
Your Own,57,177500,0.516,0.764,0.457,2.40E-05,2,0.201,-11.351,1,0.0272,95.996,4,0.764
Girl,50,145238,0.144,0.657,0.732,0.00112,4,0.241,-5.961,1,0.0402,125.99,5,0.844
Yam Yam,67,216038,0.319,0.445,0.591,0.766,7,0.107,-9.004,0,0.0316,137.864,4,0.0774
Thinking on My Own,44,226626,0.866,0.89,0.248,0.00149,1,0.121,-9.446,0,0.0517,127.12,5,0.245
Folding Like Honey,45,133348,0.367,0.621,0.458,0.543,0,0.104,-8.862,1,0.0463,144.092,4,0.603
Sometimes,62,262736,0.105,0.445,0.563,0.000271,7,0.179,-8.904,1,0.0315,94.978,4,0.204
Coqueta,49,174000,0.571,0.632,0.652,0.85,4,0.194,-10.558,1,0.0302,115.031,4,0.594
All Your Love,65,175241,0.293,0.568,0.587,0.329,11,0.137,-8.814,0,0.127,174.682,4,0.491
Lucy,66,142500,0.385,0.649,0.535,0.000422,6,0.12,-12.017,0,0.224,84.466,4,0.843
Defenders of the Glam,42,264000,0.689,0.709,0.531,0.00155,9,0.648,-8.128,0,0.0347,120.013,4,0.278
4EVER,71,159595,0.049,0.75,0.585,0.00552,9,0.155,-7.576,0,0.0285,102.331,4,0.584
Condemned to Be Freaky,47,181169,0.0992,0.775,0.514,0.509,9,0.116,-8.471,1,0.0332,96.986,4,0.415
Crazy4luvinU,46,240000,0.0306,0.703,0.511,0.478,11,0.129,-13.04,0,0.0469,100,4,0.46
The Way Things Change,64,248382,0.25,0.739,0.453,0.0148,5,0.289,-8.363,0,0.0449,139.919,4,0.636
Want Me,54,266733,0.852,0.339,0.197,0.015,10,0.111,-13.937,0,0.0362,91.33,1,0.0385
Erase,63,236794,0.688,0.657,0.376,2.54E-05,9,0.272,-6.534,1,0.0463,84.905,4,0.575
426,44,298161,0.000733,0.448,0.59,0.39,7,0.337,-8.908,1,0.0296,142.485,3,0.476
Cuz You're My Girl,56,247136,0.125,0.413,0.299,2.20E-06,1,0.187,-11.271,0,0.0445,82.46,4,0.549
Feeling Good,47,141111,0.856,0.664,0.323,0.167,9,0.0942,-10.599,1,0.116,109.55,4,0.346
Really Meant,44,151687,0.929,0.814,0.254,3.94E-05,9,0.0913,-12.104,0,0.0405,130.05,4,0.419
Banana Bread,55,286922,0.0191,0.724,0.56,0.000624,4,0.192,-9.218,1,0.0287,115,3,0.0647
girls,62,198400,0.227,0.515,0.449,0.0357,5,0.171,-14.468,1,0.0337,149.966,4,0.792
Nice Boys,64,180845,0.495,0.546,0.669,0.735,2,0.25,-10.806,1,0.103,75.144,4,0.337
"Prune, You Talk Funny",66,212701,0.0177,0.57,0.75,0.00247,10,0.197,-7.193,0,0.0383,140.063,4,0.578
Yeah Right,61,174357,0.624,0.672,0.59,0.236,1,0.0991,-9.574,1,0.129,169.036,4,0.21
Honey,43,203573,0.764,0.422,0.54,0.225,7,0.104,-9.449,1,0.0325,86.928,4,0.159
Forlorn Beach,42,230012,0.0798,0.823,0.192,0.815,10,0.0721,-12.22,1,0.356,100.989,4,0.889
Lucky Love,56,286185,0.487,0.66,0.313,0.00349,5,0.105,-13.287,1,0.0263,143.972,3,0.226
To Be You,47,168414,0.177,0.603,0.617,0.468,11,0.188,-6.89,0,0.0709,136.066,4,0.229
Getting It On,58,180437,0.877,0.747,0.538,0.766,11,0.0877,-9.664,0,0.033,136.948,4,0.3
Dennis,59,194363,0.0291,0.827,0.676,7.28E-05,1,0.074,-6.414,1,0.0481,100.037,4,0.553
I'm Just Snacking,66,198000,0.134,0.614,0.478,4.52E-06,8,0.254,-7.306,0,0.0289,127.994,4,0.384
Unbothered,67,124954,0.269,0.645,0.485,0.00309,2,0.133,-7.098,1,0.0298,108.941,4,0.322
How Was Your Day?,64,188786,0.0472,0.447,0.442,0.000559,8,0.331,-11.221,0,0.0471,159.967,4,0.776
Dark Red,68,173104,0.449,0.603,0.783,7.96E-06,6,0.119,-4.023,1,0.062,172.041,4,0.775
Nothing in Return,54,232200,0.551,0.672,0.739,0.046,11,0.182,-5.747,0,0.0695,100.004,4,0.685
Shot Down,43,199333,0.0604,0.777,0.352,0.00168,6,0.0795,-10.756,1,0.0994,90.002,4,0.0663
homestead,2,327714,0.937,0.646,0.453,0.109,8,0.883,-8.716,0,0.0303,99.505,3,0.133
Perks of Being a Sunflower,51,177391,0.675,0.848,0.686,0.0968,8,0.101,-7.769,1,0.0362,115.048,4,0.967
"Something, in General",47,240937,0.84,0.487,0.203,0.018,4,0.17,-14.686,1,0.0395,127.88,3,0.505
Lover Is a Day,32,456000,0.0454,0.398,0.646,0.206,3,0.101,-10.457,1,0.0412,179.853,4,0.353
Jamz,54,209729,0.889,0.803,0.49,0.00765,2,0.123,-8.611,1,0.0284,110.992,4,0.658
"What Is Love? Tell Me, Is It Easy?",60,230546,0.187,0.801,0.41,0.0258,7,0.0993,-12.359,1,0.0322,125.133,4,0.719
Loving Is Easy,80,155720,0.217,0.756,0.609,0.00474,3,0.096,-7.927,1,0.0544,117.023,4,0.537
You,23,292696,0.782,0.452,0.361,0.00141,8,0.195,-8.338,0,0.0324,105.617,4,0.214
Crying on the Subway,29,164169,0.00139,0.558,0.505,0.169,1,0.0762,-10.551,1,0.0322,89.981,4,0.809
Untitled,1,135706,0.906,0.573,0.2,0,9,0.134,-9.567,1,0.0805,121.255,4,0.333
Still Beating,66,181586,0.581,0.709,0.496,0.195,1,0.151,-10.528,0,0.0417,78.477,4,0.469
Whatever Comes to Mind,53,249304,0.579,0.542,0.468,0.104,10,0.112,-7.796,1,0.0265,130.829,4,0.252
summer depression,64,151693,0.632,0.691,0.306,0.479,9,0.108,-15.651,1,0.0544,129.929,4,0.62
Reminder - Remix,65,221968,0.149,0.745,0.65,0,0,0.107,-5.992,0,0.227,159.994,4,0.521
These Scars (feat. Future and Guordan Banks),45,194000,0.0727,0.558,0.798,0,1,0.365,-4.553,1,0.238,93.692,4,0.422
Doin 2 Much,62,204541,0.0649,0.832,0.625,0,8,0.105,-5.999,0,0.281,130.038,4,0.574
Bank Account,15,220306,0.0151,0.884,0.346,7.04E-06,8,0.0871,-8.228,0,0.351,75.016,4,0.376
Self-Made,66,167853,0.00304,0.932,0.702,1.87E-05,7,0.267,-3.459,0,0.0903,143.001,4,0.53
No Complaints,71,261733,0.0855,0.914,0.507,0.0254,2,0.0797,-10.784,1,0.164,123.956,4,0.199
Big Amount,62,188069,0.0124,0.687,0.829,0,3,0.107,-4.204,0,0.26,133.854,4,0.154
Trips to Beijing,26,193201,0.458,0.666,0.842,0,8,0.138,-3.699,0,0.553,95.669,3,0.579
first take,64,313909,0.015,0.423,0.536,0,7,0.095,-3.8,1,0.16,71.313,5,0.0895
Clarity (feat. Dave East & Bino Rideaux),46,192705,0.0251,0.532,0.726,0,1,0.717,-7.057,1,0.36,152.003,4,0.357
Dope Fiend,34,188745,0.289,0.851,0.634,0,11,0.0895,-7.32,1,0.172,117.034,4,0.442
Disrespectful,9,202751,0.022,0.71,0.547,6.04E-05,1,0.12,-8.215,1,0.0691,152.003,4,0.142
Rolls Royce Bitch,53,239160,0.227,0.845,0.728,0,0,0.0762,-3.855,1,0.268,119.986,4,0.451
Idols Become Rivals,54,341680,0.0123,0.481,0.716,0,10,0.141,-5.996,0,0.622,78.829,4,0.404
Murder,46,232200,0.152,0.866,0.605,0,2,0.372,-6.972,1,0.37,86.196,4,0.723
Can't Do It,45,168999,0.0219,0.881,0.663,2.42E-06,8,0.0927,-6.064,0,0.233,151.034,4,0.742
Magnolia,80,181812,0.0113,0.791,0.581,0,11,0.35,-7.323,0,0.286,162.99,4,0.438
Steady Mobbin,64,310733,0.0252,0.681,0.694,0,0,0.541,-8.123,0,0.258,156.149,4,0.659
March Madness,65,244613,0.173,0.406,0.661,0,8,0.101,-5.142,1,0.311,180.206,3,0.335
Bounce Back,80,222360,0.105,0.77,0.567,0,2,0.125,-5.698,1,0.175,81.477,4,0.26
Bodak Yellow,76,223962,0.0672,0.929,0.723,0,11,0.346,-5.792,0,0.109,125.022,4,0.458
ATLiens,66,230693,0.0294,0.918,0.734,7.90E-06,11,0.191,-2.832,0,0.269,97.044,4,0.608
E.T.,42,209711,0.486,0.558,0.743,0,9,0.106,-5.763,0,0.344,80.576,4,0.308
Do U?,53,251960,0.168,0.617,0.882,0,1,0.12,-2.701,0,0.101,145.933,4,0.267
Cross Me,23,205008,0.474,0.468,0.679,0,10,0.304,-5.555,1,0.357,82.011,4,0.458
What Do You See (feat. Jack Freeman),27,211506,0.409,0.687,0.829,0,1,0.197,-4.299,1,0.31,84.064,4,0.302
4 Lit,53,203833,0.0414,0.812,0.402,0,1,0.0998,-6.594,1,0.0697,85.044,4,0.261
Free Smoke,69,218673,0.0621,0.617,0.492,0,10,0.484,-7.588,0,0.448,141.953,4,0.208
BUTTERFLY EFFECT,60,190677,0.0714,0.763,0.598,0,11,0.112,-6.865,1,0.0539,140.987,4,0.182
PRBLMS,7,246773,0.0303,0.672,0.574,2.02E-06,9,0.18,-4.663,1,0.0993,103.019,4,0.106
Champions,73,334253,0.0661,0.695,0.777,0,6,0.874,-2.452,0,0.0817,135.01,4,0.36
Ghetto Experiment (feat. Rich Andruws),19,240000,0.476,0.558,0.693,0,5,0.133,-7.262,0,0.194,117.047,5,0.681
No Problem (feat. Lil Wayne & 2 Chainz),77,304606,0.156,0.652,0.795,0,11,0.123,-5.192,0,0.174,135.018,4,0.788
White Iverson,83,256533,0.233,0.675,0.562,0,7,0.0816,-7.678,1,0.0352,130.098,4,0.309
Run Me Dry,74,169266,0.393,0.646,0.756,3.23E-05,9,0.202,-9.017,0,0.487,193.881,4,0.596
"Ball Like This (feat. Future, Wiz Khalifa & Kid Ink)",49,221857,0.0664,0.736,0.597,2.15E-06,7,0.0957,-6.003,1,0.148,137.048,4,0.403
White Dress,46,223286,0.00467,0.641,0.833,0,4,0.352,-4.597,0,0.108,130.005,4,0.135
Middle Man / Mr. Mister,40,412853,0.217,0.643,0.723,1.23E-05,2,0.114,-6.751,0,0.0937,131.013,4,0.0916
DNA.,83,185946,0.00454,0.638,0.523,0,1,0.0842,-6.664,1,0.357,139.913,4,0.422
Three Sixteens,32,285400,0.0313,0.658,0.901,0,11,0.3,-5.28,0,0.199,82.042,4,0.448
Gamble,52,162246,0.194,0.668,0.704,0,2,0.381,-5.479,1,0.166,158.025,4,0.549
Litty (feat. Tory Lanez),69,280615,0.0451,0.592,0.701,0,10,0.327,-4.014,0,0.0858,129.501,4,0.282
Skateboard P (feat. Big Sean),75,242306,0.0371,0.831,0.47,0,1,0.144,-7.48,0,0.425,75.474,4,0.339
Good Drank,68,222706,0.274,0.836,0.776,0,4,0.113,-0.804,0,0.239,130.033,4,0.37
Everyday We Lit (feat. PnB Rock),72,197170,0.128,0.758,0.646,0,7,0.0778,-4.701,1,0.112,155.955,4,0.589
Both (feat. Drake),76,190311,0.119,0.85,0.405,0.000118,7,0.0707,-7.509,0,0.225,139.976,4,0.344
Don't Get Too High,59,209040,0.0148,0.88,0.495,1.47E-06,1,0.121,-3.476,1,0.0681,124.055,4,0.47
HUMBLE. - SKRILLEX REMIX,78,156800,0.00778,0.898,0.935,3.63E-05,11,0.217,-2.744,1,0.291,150.016,4,0.884
Back To Back,71,170637,0.00898,0.635,0.472,0,8,0.117,-3.869,0,0.511,174.008,4,0.373
KOD,81,191436,0.21,0.831,0.782,0,0,0.113,-6.274,1,0.15,141.869,4,0.199
Last Breath,63,239800,0.431,0.675,0.758,0.00177,4,0.377,-4.589,0,0.0368,89.982,4,0.152
No Limit,81,245386,0.0117,0.838,0.771,0,1,0.0853,-3.791,1,0.244,175.957,4,0.405
ATM,77,216726,0.115,0.719,0.497,0,8,0.0898,-7.661,1,0.681,81.651,4,0.345
Forever,71,357346,0.244,0.544,0.92,0,5,0.19,-1.474,0,0.277,105.307,5,0.519
G.O.M.D.,77,301133,0.331,0.889,0.393,8.67E-06,4,0.283,-10.821,0,0.267,128.065,4,0.304
DNA.,83,185946,0.00454,0.638,0.523,0,1,0.0842,-6.664,1,0.357,139.913,4,0.422
Plain Jane,83,173600,0.0651,0.797,0.844,0,11,0.087,-5.482,1,0.275,170.142,4,0.52
Calm Down,70,127426,0.000175,0.537,0.624,2.20E-06,11,0.116,-8.794,1,0.325,102.315,4,0.409
Cinderella Man,74,279013,0.234,0.679,0.908,0,8,0.0821,-3.411,1,0.202,85.918,4,0.687
Jumpman,79,205879,0.0563,0.852,0.553,0,1,0.332,-7.286,1,0.187,142.072,4,0.656
1985 - Intro to “The Fall Off”,75,190176,0.147,0.678,0.648,0,2,0.182,-5.892,1,0.445,94.336,4,0.635
Champions,73,334253,0.0661,0.695,0.777,0,6,0.874,-2.452,0,0.0817,135.01,4,0.36
Out The Mud,64,241186,0.0402,0.854,0.709,0,10,0.0901,-5.214,0,0.105,129.929,4,0.403
rockstar,27,218320,0.128,0.58,0.531,0.000127,5,0.143,-6.631,0,0.0776,159.786,4,0.141
Let You Down,16,212120,0.316,0.661,0.715,0,5,0.178,-5.651,0,0.119,148.027,4,0.411
Fade,71,193747,0.1,0.756,0.766,0,9,0.313,-5.793,0,0.088,105.986,4,0.288
Wins & Losses,61,189056,0.0948,0.683,0.854,0,2,0.267,-3.915,1,0.196,92.006,4,0.131
I Get The Bag (feat. Migos),12,233087,0.0232,0.89,0.633,0.000343,11,0.0993,-5.475,1,0.168,139.948,4,0.425
Portland,36,236614,0.0172,0.925,0.443,0,1,0.276,-8.216,1,0.264,136.078,4,0.35
MotorSport,15,307660,0.0519,0.901,0.529,0,2,0.179,-4.443,1,0.191,138.003,4,0.146
Purple Lamborghini (with Rick Ross),74,215510,0.0019,0.457,0.899,0,10,0.831,-2.591,0,0.132,147.268,4,0.298
Ghostface Killers,77,268933,0.331,0.782,0.436,1.30E-05,2,0.342,-7.033,1,0.155,82.994,4,0.243
Bank Account,15,220306,0.0151,0.884,0.346,7.04E-06,8,0.0871,-8.228,0,0.351,75.016,4,0.376
PICK IT UP (feat. A$AP Rocky),82,191251,0.0149,0.921,0.467,0.000238,1,0.334,-8.443,1,0.119,135.995,4,0.287
Rap God,80,363521,0.397,0.708,0.843,0,7,0.799,-2.66,1,0.314,148.14,4,0.625
"American Dream (feat. J. Cole, Kendrick Lamar)",62,249040,0.0621,0.64,0.85,0,2,0.303,-5.705,1,0.173,76.981,4,0.591
Iced Out (feat. 2 Chainz),68,192000,0.00365,0.934,0.407,0,0,0.11,-8.058,1,0.345,140.024,4,0.0793
Another One,46,158380,0.621,0.739,0.798,0,10,0.0817,-6.931,0,0.526,82.433,4,0.684
Achoo,38,244000,0.167,0.659,0.839,0,2,0.389,-4.106,1,0.162,119.935,4,0.624
Gucci Gang,64,124055,0.247,0.95,0.533,0,5,0.114,-7.022,1,0.148,119.869,4,0.675
BabyWipe,4,168640,0.0261,0.886,0.516,0,1,0.375,-8.377,1,0.263,148.055,4,0.583
KEKE,65,151914,0.0363,0.597,0.857,0,2,0.407,-5.759,1,0.28,187.964,4,0.493
Stand Up for Something (feat. Common),45,224306,0.255,0.425,0.759,0,8,0.102,-4.839,0,0.128,141.173,3,0.623
Optimistic,42,318760,0.0213,0.712,0.924,0.000381,6,0.309,-4.367,1,0.0669,104.109,4,0.839
Racism And Injustice,21,260160,0.922,0.65,0.316,0,9,0.739,-18.244,0,0.94,117.198,4,0.306
Black Gold (special guest: Algebra Blessett),26,314746,0.622,0.416,0.433,7.43E-05,7,0.351,-9.995,0,0.104,83.602,4,0.463
Say It Loud - I'm Black And I'm Proud,29,288440,0.176,0.83,0.441,0.00104,3,0.0482,-11.992,1,0.171,116.233,4,0.946
Oprah 75th Golden Globes Cecil B. DeMille Award Acceptance Speech,24,504750,0.847,0.686,0.529,0,5,0.933,-8.69,1,0.894,114.227,5,0.326
Don't Touch My Hair,63,257546,0.409,0.823,0.411,0.00135,0,0.649,-7.061,1,0.0557,90.997,4,0.397
Visions,54,323266,0.953,0.478,0.2,0.000521,6,0.104,-16.081,0,0.037,130.466,4,0.14
Thank You,19,31373,0.355,0.273,0.846,0,7,0.94,-15.659,1,0.099,101.644,4,0.0326
I Have a Dream - The Complete Speech of Martin Luther King Jr.,24,1047933,0.985,0.586,0.117,2.84E-05,11,0.39,-29.11,1,0.831,133.891,4,0.274
Feeling Good,74,174000,0.854,0.318,0.334,0,7,0.188,-9.267,0,0.0487,78.508,4,0.541
Africa,43,373600,0.608,0.726,0.33,0.127,9,0.724,-9.935,1,0.211,94.755,4,0.378
Tell Him,56,280760,0.19,0.655,0.647,0.00877,1,0.0412,-9.465,1,0.0903,80.077,4,0.931
Redemption Song,71,233560,0.578,0.684,0.248,0,0,0.0643,-10.505,1,0.0435,116.002,4,0.621
"Final Speech - April 3, 1968",20,69853,0.986,0.521,0.741,0.00175,1,0.833,-12.401,1,0.641,93.02,3,0.437
1960 What?,22,747222,0.515,0.511,0.505,6.26E-05,3,0.114,-10.773,1,0.0421,119.292,4,0.622
Alright,53,194490,0.0818,0.78,0.784,0,7,0.623,-5.619,1,0.2,110.054,4,0.666
UMI Says,55,305280,0.305,0.72,0.67,0,2,0.0928,-10.224,1,0.132,121.342,4,0.566
Negro Sense of Humor,12,157266,0.995,0.653,0.146,0.957,10,0.109,-22.707,0,0.445,88.668,4,0.331
We The People....,28,172013,0.00362,0.706,0.749,1.23E-05,1,0.122,-5.764,1,0.0411,92.602,4,0.912
Blk/ Wooomen/ chant,16,66093,0.936,0.688,0.127,1.32E-05,7,0.0943,-18.816,1,0.891,88.504,4,0.377
Woman,40,267600,0.5,0.751,0.48,0,0,0.298,-5.784,0,0.22,87.016,4,0.632
The Fact Is (I Need You),38,277773,0.726,0.474,0.418,0.000285,7,0.306,-9.082,1,0.102,67.23,4,0.565
Soul Sista,50,318666,0.573,0.701,0.322,4.84E-06,8,0.186,-10.379,0,0.133,145.848,4,0.675
I Have Known Rivers,17,69026,0.763,0.651,0.0809,0,0,0.157,-21.8,0,0.808,92.814,5,0.42
A Change Is Gonna Come,65,191160,0.76,0.212,0.42,0,10,0.307,-9.919,1,0.0344,169.555,3,0.493
Strange Fruit,38,192013,0.975,0.29,0.0423,0.000192,10,0.155,-19.03,0,0.036,58.017,4,0.0384
In A Sentimental Mood,7,258226,0.951,0.47,0.244,0.0509,10,0.109,-13.608,0,0.0335,108.154,4,0.264
Shirley Chisholm - 1972,12,35920,0.826,0.777,0.376,0,8,0.0706,-10.928,1,0.794,112.639,4,0.349
Black Butterfly,33,265226,0.474,0.455,0.455,0.000301,2,0.132,-11.899,0,0.0362,129.467,4,0.162
Brotha,47,268133,0.538,0.801,0.434,0,7,0.0729,-9.174,0,0.376,132.254,4,0.661
U Will Know - Extended Version,39,265640,0.0293,0.718,0.561,0,11,0.44,-11.895,0,0.0871,96.116,4,0.644
If I Was President 2016,28,131321,0.246,0.651,0.443,0,4,0.238,-6.671,0,0.324,89.526,4,0.43
I Can,59,253720,0.103,0.837,0.885,0,6,0.0666,-3.914,0,0.182,95.313,4,0.694
Space Program,0,156480,0.869,0.589,0.604,2.46E-06,4,0.684,-18.562,0,0.941,111.968,4,0.197
The Space Program,24,340853,0.445,0.611,0.686,2.11E-06,1,0.659,-6.087,1,0.338,101.657,4,0.534
Living For The City,27,443000,0.124,0.583,0.503,0,11,0.192,-12.507,1,0.0701,98.864,4,0.454
Inner City Blues (Make Me Wanna Holler),58,331960,0.714,0.633,0.6,0.161,11,0.078,-9.093,1,0.0339,94.096,4,0.687
Wake Up Everybody,0,266373,0.549,0.626,0.447,0,6,0.352,-8.151,1,0.0554,93.908,4,0.694
I Say a Little Prayer,76,216773,0.48,0.59,0.355,0,9,0.0585,-14.051,1,0.0352,133.03,4,0.499
Human Nature,58,246040,0.498,0.628,0.409,0.00595,2,0.29,-14.348,1,0.0306,93.005,4,0.755
Greatest Love Of All,65,291400,0.484,0.502,0.305,3.55E-06,9,0.117,-16.011,1,0.0339,131.242,4,0.248
Open My Heart,47,340040,0.7,0.414,0.402,0,10,0.365,-8.911,0,0.0427,105.368,4,0.171
Mercy Mercy Me (The Ecology),58,196506,0.147,0.488,0.768,0.429,11,0.0806,-8.207,0,0.042,93.617,4,0.447
Caravan of Love,51,341973,0.586,0.665,0.502,0,7,0.19,-11.045,1,0.0258,88.295,4,0.81
Lloraras,48,228635,0.646,0.744,0.828,8.40E-05,8,0.0548,-6.496,0,0.0491,92.783,4,0.96
Dale Vieja Dale,58,216502,0.527,0.648,0.951,0,7,0.0707,-1.565,1,0.233,165.364,4,0.966
Nereyda,54,295760,0.447,0.723,0.362,0.00186,9,0.303,-13.523,0,0.0499,76.595,4,0.931
Dejalo Ahi,45,250520,0.292,0.828,0.89,4.67E-05,6,0.196,-6.094,0,0.224,173.954,4,0.842
Donde Estan Esos Amigos,29,270480,0.0756,0.839,0.643,0.000143,10,0.305,-5.252,0,0.0336,129.104,4,0.735
"Vagabundo, Borracho y Loco",50,269490,0.732,0.739,0.473,9.71E-05,6,0.0363,-7.873,0,0.0512,148.28,4,0.964
Me Voy - Bachata,52,242320,0.563,0.9,0.734,0,4,0.214,-4.456,0,0.0378,131.989,4,0.883
La Dueña del Swing,65,259013,0.505,0.746,0.915,4.02E-05,7,0.161,-6.626,0,0.0675,154.985,4,0.812
Medicina De Amor,47,360066,0.316,0.652,0.563,0,1,0.0453,-3.799,1,0.0435,144.6,4,0.91
En Barranquilla Me Quedo,63,312480,0.172,0.642,0.7,0.000232,1,0.0895,-9.213,1,0.0552,103.899,4,0.784
Guallando,54,206853,0.0495,0.677,0.884,0,7,0.436,-8.725,1,0.0721,149.912,4,0.93
Nadie Como Ella,48,296026,0.674,0.621,0.771,0,8,0.114,-6.128,1,0.0379,93.254,4,0.886
Kiliki Taka Ti,47,400266,0.505,0.6,0.872,0.00145,1,0.168,-4.166,1,0.141,147.708,4,0.823
Tu Eres Ajena,2,241666,0.227,0.918,0.61,0.000133,0,0.0839,-6.55,0,0.0551,130.203,4,0.943
Veneno,35,246333,0.573,0.663,0.317,0.0321,6,0.117,-12.597,0,0.0645,134.02,4,0.857
Por Mi Timidez,0,281600,0.372,0.754,0.495,4.91E-05,7,0.0882,-4.982,1,0.0457,136.212,4,0.741
Hoja En Blanco,66,307200,0.225,0.932,0.772,3.24E-06,0,0.176,-3.599,1,0.0369,135.063,4,0.863
El Baile Del Perrito,44,491200,0.106,0.577,0.73,0.000771,2,0.06,-12.601,1,0.0571,171.753,4,0.839
Desnúdate Mujer,55,289906,0.113,0.727,0.707,0.00211,7,0.111,-7.439,1,0.044,99.81,4,0.917
Abusadora,57,280640,0.0648,0.639,0.88,0.00106,7,0.0368,-4.957,1,0.224,84.652,4,0.552
Corazon Culpable,50,361093,0.34,0.717,0.5,2.04E-06,4,0.0241,-9.848,0,0.0506,80.869,4,0.87
Obsesion,74,254720,0.419,0.803,0.56,0,1,0.0608,-6.912,0,0.0398,133.679,4,0.77
El Cafe,42,226077,0.361,0.7,0.909,4.03E-05,0,0.0621,-2.742,0,0.0798,141.106,4,0.966
Merengue Electronico,48,235373,0.0582,0.724,0.8,0.000717,2,0.198,-5.676,0,0.0368,126.994,4,0.755
El Cantante,58,622520,0.422,0.489,0.679,6.92E-06,7,0.13,-4.899,0,0.0326,95.813,4,0.658
El Gran Varon,61,414706,0.581,0.645,0.665,0,7,0.0391,-5.519,0,0.0384,94.115,4,0.369
Dos Locos,61,246746,0.0878,0.918,0.664,0.00026,1,0.0729,-4.767,0,0.0502,129.998,4,0.827
El Cepillo,53,206493,0.0721,0.728,0.938,0.000173,7,0.0318,-7.844,1,0.077,150.004,4,0.938
La Historia De Un Gran Amor,45,270093,0.11,0.785,0.845,5.78E-05,9,0.0426,-5.559,0,0.0597,149.707,4,0.877
Voy Pa'lla,33,223453,0.0318,0.824,0.602,0,0,0.08,-4.438,1,0.0507,135.413,4,0.809
Un verano en Nueva York,57,298515,0.673,0.557,0.65,0.122,7,0.286,-8.897,1,0.0424,106.1,4,0.965
Dile Que Vuelva,40,336226,0.0888,0.572,0.937,0.0544,8,0.145,-6.64,1,0.182,171.476,4,0.856
Que Ironía (Versión Bachata),36,257546,0.544,0.89,0.595,6.35E-05,7,0.128,-6.056,0,0.0365,133.033,4,0.949
Tu Eres Ajena,57,293106,0.267,0.751,0.788,0,9,0.189,-6.011,1,0.0436,133.294,4,0.939
Alegria,44,322066,0.71,0.563,0.89,0.000385,2,0.288,-7.349,0,0.0539,86.436,4,0.895
La Chiflera,39,438480,0.138,0.457,0.828,1.42E-05,7,0.145,-2.607,1,0.316,175.345,4,0.783
No Te Puedo Perdonar,26,265849,0.0607,0.912,0.466,1.13E-05,6,0.262,-9.03,0,0.0772,139.919,4,0.924
Es Mentiroso,50,242973,0.399,0.847,0.814,1.23E-05,7,0.0661,-4.431,0,0.0537,144.28,4,0.895
Pégame Tu Vicio,53,301133,0.0858,0.701,0.847,2.60E-05,2,0.0816,-7.892,1,0.0417,137.375,4,0.817
Porque Te Fuiste Dulce Amor,40,357000,0.408,0.581,0.741,0.0128,0,0.22,-9.233,1,0.204,166.038,4,0.903
Mi Forma de Ser,46,285441,0.165,0.577,0.76,2.54E-05,7,0.155,-7.196,1,0.0914,146.552,4,0.827
Bellas,47,243500,0.118,0.894,0.766,9.80E-06,9,0.272,-4.441,1,0.0505,129.997,4,0.936
Como Lo Niego,44,224160,0.644,0.884,0.707,6.47E-06,1,0.0821,-2.875,0,0.0383,134.992,4,0.946
Fecha de Vencimiento,47,212584,0.593,0.827,0.865,0.000312,9,0.137,-3.714,1,0.0284,134.015,4,0.885
El Intruso,58,172440,0.65,0.819,0.641,6.24E-05,3,0.137,-5.082,1,0.0341,129.931,4,0.804
Chucuchá,43,206959,0.323,0.775,0.868,0.00539,9,0.107,-5.665,0,0.04,141.991,4,0.975
Corazón Con Candado,37,262653,0.55,0.788,0.91,2.27E-05,0,0.25,-2.632,0,0.0274,130.069,4,0.894
Te Estaré Esperando,25,262608,0.263,0.831,0.902,0,1,0.235,-3.135,1,0.0493,112.021,4,0.97
El Bolon,27,146485,0.39,0.509,0.768,0,9,0.12,-2.323,1,0.16,149.515,4,0.879
El Farolito,50,223653,0.514,0.447,0.932,3.14E-05,7,0.0536,-4.7,0,0.125,166.484,4,0.846
Sweet Soul Music,60,141066,0.104,0.59,0.659,6.56E-06,5,0.356,-9.669,1,0.0697,80.201,4,0.965
Ain't Too Proud To Beg,22,156173,0.549,0.763,0.656,0,0,0.125,-6.86,1,0.0417,118.394,4,0.926
Land Of 1000 Dances,62,146973,0.0128,0.618,0.588,0.0266,2,0.351,-11.624,1,0.0735,86.903,4,0.768
Papa's Got A Brand New Bag,57,125706,0.493,0.746,0.702,0.0398,4,0.0964,-8.099,1,0.0766,129.434,4,0.889
This Old Heart Of Mine (Is Weak For You) - Single Version,55,175893,0.377,0.601,0.636,0,5,0.148,-7.447,1,0.0322,130.594,4,0.864
